company,top_topic,P_0,RD_0,P_1,RD_1,P_2,RD_2,P_3,RD_3,P_4,RD_4,P_5,RD_5,P_6,RD_6,year
拓邦股份,6,0.000363 ,0.000363 ,0.000026 ,0.000026 ,0.000034 ,0.000034 ,0.000041 ,0.000041 ,0.000042 ,0.000042 ,0.000044 ,0.000044 ,0.999451 ,2.140845 ,2024
东华科技,3,0.013894 ,0.013895 ,0.021419 ,0.021421 ,0.149874 ,0.150462 ,0.814736 ,0.988043 ,0.000025 ,0.000025 ,0.000026 ,0.000026 ,0.000025 ,0.000025 ,2024
中核钛白,0,0.817994 ,0.994628 ,0.000036 ,0.000036 ,0.000045 ,0.000045 ,0.181751 ,0.182811 ,0.000057 ,0.000057 ,0.000059 ,0.000059 ,0.000058 ,0.000058 ,2024
北纬科技,6,0.000165 ,0.000165 ,0.000091 ,0.000091 ,0.000116 ,0.000116 ,0.000141 ,0.000141 ,0.000146 ,0.000146 ,0.000152 ,0.000152 ,0.999189 ,2.093993 ,2024
北斗星通,2,0.000088 ,0.000088 ,0.000049 ,0.000049 ,0.932567 ,1.307420 ,0.000075 ,0.000075 ,0.067061 ,0.067113 ,0.000081 ,0.000081 ,0.000079 ,0.000079 ,2024
广电运通,4,0.239740 ,0.242235 ,0.016032 ,0.016033 ,0.000037 ,0.000037 ,0.000045 ,0.000045 ,0.495215 ,0.520948 ,0.000049 ,0.000049 ,0.248882 ,0.251686 ,2024
悦心健康,3,0.000134 ,0.000134 ,0.024046 ,0.024048 ,0.000095 ,0.000095 ,0.761377 ,0.889072 ,0.000119 ,0.000119 ,0.000124 ,0.000124 ,0.214106 ,0.215864 ,2024
莱茵生物,2,0.081476 ,0.081568 ,0.000032 ,0.000032 ,0.587949 ,0.634780 ,0.000049 ,0.000049 ,0.000051 ,0.000051 ,0.330392 ,0.337231 ,0.000052 ,0.000052 ,2024
楚江新材,3,0.268139 ,0.271678 ,0.000054 ,0.000054 ,0.000069 ,0.000069 ,0.309948 ,0.315532 ,0.000087 ,0.000087 ,0.298269 ,0.303215 ,0.123434 ,0.123759 ,2024
中航光电,4,0.000197 ,0.000197 ,0.000109 ,0.000109 ,0.000139 ,0.000139 ,0.000169 ,0.000169 ,0.899841 ,1.194225 ,0.099366 ,0.099534 ,0.000178 ,0.000178 ,2024
华天科技,3,0.000217 ,0.000217 ,0.000120 ,0.000120 ,0.000153 ,0.000153 ,0.803662 ,0.966192 ,0.000193 ,0.000193 ,0.000200 ,0.000200 ,0.195454 ,0.196781 ,2024
广百股份,3,0.241141 ,0.243682 ,0.158883 ,0.159585 ,0.000223 ,0.000223 ,0.598897 ,0.648954 ,0.000281 ,0.000281 ,0.000291 ,0.000291 ,0.000285 ,0.000285 ,2024
中天服务,0,0.995615 ,1.860920 ,0.000503 ,0.000503 ,0.000640 ,0.000641 ,0.000779 ,0.000779 ,0.000807 ,0.000807 ,0.000836 ,0.000837 ,0.000819 ,0.000819 ,2024
成飞集成,5,0.000133 ,0.000133 ,0.000074 ,0.000074 ,0.000094 ,0.000094 ,0.000114 ,0.000114 ,0.000118 ,0.000118 ,0.999347 ,2.120297 ,0.000120 ,0.000120 ,2024
武汉凡谷,0,0.510412 ,0.538941 ,0.000039 ,0.000039 ,0.000050 ,0.000050 ,0.000061 ,0.000061 ,0.000063 ,0.000063 ,0.000065 ,0.000065 ,0.489310 ,0.514016 ,2024
东晶电子,3,0.000168 ,0.000168 ,0.000093 ,0.000093 ,0.000118 ,0.000118 ,0.615990 ,0.671458 ,0.383325 ,0.394346 ,0.000154 ,0.000154 ,0.000151 ,0.000151 ,2024
金风科技,3,0.205595 ,0.207146 ,0.000072 ,0.000072 ,0.181207 ,0.182258 ,0.508979 ,0.537235 ,0.103912 ,0.104105 ,0.000119 ,0.000119 ,0.000117 ,0.000117 ,2024
塔牌集团,3,0.000038 ,0.000038 ,0.013551 ,0.013552 ,0.000027 ,0.000027 ,0.773878 ,0.910950 ,0.000033 ,0.000033 ,0.000035 ,0.000035 ,0.212438 ,0.214154 ,2024
民和股份,3,0.202211 ,0.203685 ,0.000106 ,0.000106 ,0.000134 ,0.000134 ,0.797032 ,0.953474 ,0.000169 ,0.000169 ,0.000175 ,0.000175 ,0.000172 ,0.000172 ,2024
大华股份,4,0.000022 ,0.000022 ,0.000012 ,0.000012 ,0.000015 ,0.000015 ,0.000019 ,0.000019 ,0.999892 ,2.315832 ,0.000020 ,0.000020 ,0.000020 ,0.000020 ,2024
恒邦股份,0,0.606277 ,0.658612 ,0.000053 ,0.000053 ,0.000068 ,0.000068 ,0.388503 ,0.400014 ,0.004924 ,0.004925 ,0.000088 ,0.000088 ,0.000086 ,0.000086 ,2024
盛新锂能,0,0.999642 ,2.190015 ,0.000041 ,0.000041 ,0.000052 ,0.000052 ,0.000064 ,0.000064 ,0.000066 ,0.000066 ,0.000068 ,0.000068 ,0.000067 ,0.000067 ,2024
歌尔股份,4,0.474672 ,0.496969 ,0.000082 ,0.000082 ,0.000104 ,0.000104 ,0.000127 ,0.000127 ,0.524745 ,0.556126 ,0.000136 ,0.000136 ,0.000133 ,0.000134 ,2024
九阳股份,0,0.581356 ,0.626331 ,0.000131 ,0.000131 ,0.000167 ,0.000167 ,0.000203 ,0.000203 ,0.000210 ,0.000210 ,0.000218 ,0.000218 ,0.417714 ,0.432298 ,2024
力合科创,2,0.000110 ,0.000110 ,0.000061 ,0.000061 ,0.616501 ,0.672137 ,0.057000 ,0.057031 ,0.131363 ,0.131756 ,0.194865 ,0.196179 ,0.000100 ,0.000100 ,2024
蔚蓝锂芯,6,0.000059 ,0.000059 ,0.000033 ,0.000033 ,0.000042 ,0.000041 ,0.000050 ,0.000050 ,0.000052 ,0.000052 ,0.000054 ,0.000054 ,0.999710 ,2.213307 ,2024
ST步步高,3,0.000164 ,0.000164 ,0.145417 ,0.145953 ,0.000116 ,0.000116 ,0.695243 ,0.783098 ,0.000146 ,0.000146 ,0.000151 ,0.000151 ,0.158763 ,0.159463 ,2024
海陆重工,5,0.000045 ,0.000045 ,0.000025 ,0.000025 ,0.000032 ,0.000032 ,0.149346 ,0.149927 ,0.000040 ,0.000040 ,0.850473 ,1.064807 ,0.000040 ,0.000040 ,2024
利尔化学,5,0.431679 ,0.447930 ,0.000044 ,0.000044 ,0.000056 ,0.000056 ,0.029524 ,0.029529 ,0.000070 ,0.000070 ,0.538555 ,0.572895 ,0.000072 ,0.000072 ,2024
